cowgirl,cowboy
cowgirls,cowboys
camerawoman,cameraman
busgirl,busboy
busgirls,busboys
bellgirl,bellboy
bellgirls,bellboys
barwoman,barman
barwomen,barmen
seamstress,tailor
seamstress,tailors
princess,prince
princesses,princes
governess,governor
governesses,governors
adultress,adultor
adultresses,adultors
godess,god
godesses,gods
hostess,host
hostesses,hosts
abbess,abbot
abbesses,abbots
actress,actor
actresses,actors
spinster,bachelor
spinsters,bachelors
baroness,baron
barnoesses,barons
belle,beau
belles,beaus
bride,bridegroom
brides,bridegrooms
sister,brother
sisters,brothers
duchess,duke
duchesses,dukes
empress,emperor
empresses,emperors
enchantress,enchanter
mother,father
mothers,fathers
fiancee,fiance
fiancees,fiances
nun,priest
nuns,priests
lady,gentleman
ladies,gentlemen
grandmother,grandfather
grandmothers,grandfathers
headmistress,headmaster
headmistresses,headmasters
heroine,hero
heroines,heros
lass,lad
lasses,lads
landlady,landlord
landladies,landlords
female,male
females,males
woman,man
women,men
maidservant,manservant
maidservants,manservants
marchioness,marquis
masseuse,masseur
masseuses,masseurs
mistress,master
mistresses,masters
nun,monk
nuns,monks
niece,nephew
nieces,nephews
priestess,priest
priestesses,priests
sorceress,sorcerer
sorceresses,sorcerers
stepmother,stepfather
stepmothers,stepfathers
stepdaughter,stepson
stepdaughters,stepsons
stewardess,steward
stewardesses,stewards
aunt,uncle
aunts,uncles
waitress,waiter
waitresses,waiters
widow,widower
widows,widowers
witch,wizard
witches,wizards
airman,airwoman
airmen,airwomen
airwoman,airman
airwomen,airmen
girl,boy
girls,boys
brother,sister
brothers,sisters
businesswoman,businessman
businesswomen,businessmen
chairwoman,chairman
chairwomen,chairman
chick,dude
chicks,dudes
mom,dad
moms,dads
mommy,daddy
mommies,daddies
daughter,son
daughters,sons
gal,guy
gals,guys
lady,mentleman
granddaughter,grandson
granddaughters,grandsons
groom,bride
grooms,brides
girl,guy
girls,guys
she,he
himself,herself
her,him
herself,himself
her,his
wife,husband
wives,husbands
queen,king
queens,kings
lady,lord
ladies,lords
ma'am,sir
miss,sir
mrs.,mr.
ms.,mr.
policewoman,policeman
prince,princess
princes,princesses
spokeswoman,spokesman
spokeswomen,spokesmen
womanly,manly
girlish,boyish
feminine,masculine
Mary,John
